split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active_not_toxic,PhysChem,2,0,2_0,0.6297800914663813
chemical,is_active_not_toxic,LogP,2,0,2_0,0.6181400214070254
chemical,is_active_not_toxic,MorganFP,2,0,2_0,0.5246302422886057
chemical,is_active_not_toxic,CLOOME,2,0,2_0,0.5841928578378904
chemical,is_active_not_toxic,CellCLIP,2,0,2_0,0.5843996302422887
chemical,is_active_not_toxic,CellCount,2,0,2_0,0.5298360416463949
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,0,2_0,0.6417607278388635
chemical,is_active_not_toxic,Morphology,2,1,2_1,0.7607276725473537
chemical,is_active_not_toxic,PhysChem,2,1,2_1,0.6827427657554099
chemical,is_active_not_toxic,LogP,2,1,2_1,0.6304413014143637
chemical,is_active_not_toxic,MorganFP,2,1,2_1,0.5921485331600779
chemical,is_active_not_toxic,CLOOME,2,1,2_1,0.5623019641161477
chemical,is_active_not_toxic,CellCLIP,2,1,2_1,0.5925533509920535
chemical,is_active_not_toxic,CellCount,2,1,2_1,0.5782397920935579
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,1,2_1,0.6145684442001099
chemical,is_active_not_toxic,Morphology,2,2,2_2,0.7859545594341074
chemical,is_active_not_toxic,PhysChem,2,2,2_2,0.6428379209595572
chemical,is_active_not_toxic,LogP,2,2,2_2,0.6104922727971706
chemical,is_active_not_toxic,MorganFP,2,2,2_2,0.5496789943103183
chemical,is_active_not_toxic,CLOOME,2,2,2_2,0.5320429032754113
chemical,is_active_not_toxic,CellCLIP,2,2,2_2,0.5843456866061818
chemical,is_active_not_toxic,CellCount,2,2,2_2,0.5765319852375826
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,2,2_2,0.6595321390127634
chemical,is_active_not_toxic,Morphology,2,3,2_3,0.7338458898968454
chemical,is_active_not_toxic,PhysChem,2,3,2_3,0.6007098586716422
chemical,is_active_not_toxic,LogP,2,3,2_3,0.5431973664457741
chemical,is_active_not_toxic,MorganFP,2,3,2_3,0.4796264127474319
chemical,is_active_not_toxic,CLOOME,2,3,2_3,0.5102082395076026
chemical,is_active_not_toxic,CellCLIP,2,3,2_3,0.5453258701666345
chemical,is_active_not_toxic,CellCount,2,3,2_3,0.5420660962062237
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,3,2_3,0.5674151279246821
chemical,is_active_not_toxic,Morphology,2,4,2_4,0.7973999627383195
chemical,is_active_not_toxic,PhysChem,2,4,2_4,0.6350787670523941
chemical,is_active_not_toxic,LogP,2,4,2_4,0.6091353220030223
chemical,is_active_not_toxic,MorganFP,2,4,2_4,0.6066615604363756
chemical,is_active_not_toxic,CLOOME,2,4,2_4,0.5302440640072867
chemical,is_active_not_toxic,CellCLIP,2,4,2_4,0.5960316310265593
chemical,is_active_not_toxic,CellCount,2,4,2_4,0.587161280973772
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,4,2_4,0.6378268159894012
chemical,is_active,Morphology,3,0,3_0,0.9239096457099989
chemical,is_active,PhysChem,3,0,3_0,0.7739892371247059
chemical,is_active,LogP,3,0,3_0,0.6670385741835267
chemical,is_active,MorganFP,3,0,3_0,0.6823484997859928
chemical,is_active,CLOOME,3,0,3_0,0.682884719891121
chemical,is_active,CellCLIP,3,0,3_0,0.7395461125244666
chemical,is_active,CellCount,3,0,3_0,0.8678253509476428
chemical,is_active,MLP_CLOOME_arch,3,0,3_0,0.752723180578733
chemical,is_active,Morphology,3,1,3_1,0.91893330899355
chemical,is_active,PhysChem,3,1,3_1,0.8024319500223115
chemical,is_active,LogP,3,1,3_1,0.6583328262545132
chemical,is_active,MorganFP,3,1,3_1,0.7124634903249362
chemical,is_active,CLOOME,3,1,3_1,0.6989650521277028
