group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
CLOOME,CellCLIP,-0.048531616883255024,-0.07561243638458114,-0.021450797381928913,0.001,True,-1.8069559725030457,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CLOOME,CellCount,-0.00829496618601877,-0.03537578568734488,0.01878585331530734,0.9,False,-0.23551998718909678,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CLOOME,LogP,-0.05697936799760517,-0.08406018749893128,-0.029898548496279057,0.001,True,-2.170673222955583,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CLOOME,MLP_CLOOME_arch,-0.05744533636893312,-0.08452615587025923,-0.030364516867607008,0.001,True,-1.6562942152420077,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CLOOME,MorganFP,0.017441985381888236,-0.009638834119437875,0.04452280488321435,0.5000201369609449,False,0.5998491210061352,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CLOOME,Morphology,-0.21446428143061225,-0.24154510093193837,-0.18738346192928612,0.001,True,-7.302381312134227,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CLOOME,PhysChem,-0.0919420224375721,-0.11902284193889821,-0.06486120293624599,0.001,True,-3.5999202562424784,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CellCLIP,CellCount,0.040236650697236254,0.013155831195910142,0.06731747019856237,0.001,True,1.0743768983346031,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CellCLIP,LogP,-0.008447751114350144,-0.035528570615676255,0.018633068386975968,0.9,False,-0.2895515647150851,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CellCLIP,MLP_CLOOME_arch,-0.008913719485678095,-0.03599453898700421,0.018167100015648016,0.9,False,-0.2412580045580936,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
CellCLIP,MorganFP,0.06597360226514326,0.03889278276381715,0.09305442176646937,0.001,True,2.078341021792794,True,0.6468496318687844,168.0,plate,is_active_not_toxic,25
